"P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "neutrality.index" "alpha" "fisher.P.value"
"281" NA NA NA NA NA NA NA NA NA
"282" NA NA NA NA NA NA NA NA NA
"283" 0 0 0 0 0 0 NA NA NA
"284" 0 0 0 0 0 0 NA NA NA
"285" 0 0 0 0 0 0 NA NA NA
"286" NA NA NA NA NA NA NA NA NA
"287" NA NA NA NA NA NA NA NA NA
"288" NA NA NA NA NA NA NA NA NA
"289" NA NA NA NA NA NA NA NA NA
"290" NA NA NA NA NA NA NA NA NA
"291" NA NA NA NA NA NA NA NA NA
"292" NA NA NA NA NA NA NA NA NA
"293" NA NA NA NA NA NA NA NA NA
"294" NA NA NA NA NA NA NA NA NA
"295" NA NA NA NA NA NA NA NA NA
"296" NA NA NA NA NA NA NA NA NA
"297" 0 0 0 0 0 0 NA NA NA
"298" 0 0 0 0 0 0 NA NA NA
"299" NA NA NA NA NA NA NA NA NA
"300" NA NA NA NA NA NA NA NA NA
"301" 0 0 0 0 0 0 NA NA NA
"302" NA NA NA NA NA NA NA NA NA
"303" NA NA NA NA NA NA NA NA NA
"304" 0 0 0 0 0 0 NA NA NA
"305" 0 0 0 0 0 0 NA NA NA
"306" NA NA NA NA NA NA NA NA NA
"307" 0 0 0 0 0 0 NA NA NA
"308" NA NA NA NA NA NA NA NA NA
"309" 0 0 0 0 0 0 NA NA NA
"310" 0 0 0 0 0 0 NA NA NA
"311" 0 0 0 0 0 0 NA NA NA
"312" 0 0 0 0 0 0 NA NA NA
"313" NA NA NA NA NA NA NA NA NA
"314" NA NA NA NA NA NA NA NA NA
"315" NA NA NA NA NA NA NA NA NA
"316" 0 0 0 0 0 0 NA NA NA
"317" 0 0 0 0 0 0 NA NA NA
"318" NA NA NA NA NA NA NA NA NA
"319" NA NA NA NA NA NA NA NA NA
"320" 0 0 0 0 0 0 NA NA NA
"321" 0 0 0 0 0 0 NA NA NA
"322" 0 0 0 0 0 0 NA NA NA
"323" NA NA NA NA NA NA NA NA NA
"324" 0 0 0 0 0 0 NA NA NA
"325" NA NA NA NA NA NA NA NA NA
"326" 0 0 0 0 0 0 NA NA NA
"327" 0 0 0 0 0 0 NA NA NA
"328" 0 0 0 0 0 0 NA NA NA
"329" NA NA NA NA NA NA NA NA NA
"330" NA NA NA NA NA NA NA NA NA
"331" NA NA NA NA NA NA NA NA NA
"332" NA NA NA NA NA NA NA NA NA
"333" NA NA NA NA NA NA NA NA NA
"334" NA NA NA NA NA NA NA NA NA
"335" NA NA NA NA NA NA NA NA NA
"336" NA NA NA NA NA NA NA NA NA
"337" NA NA NA NA NA NA NA NA NA
"338" NA NA NA NA NA NA NA NA NA
"339" 0 0 0 0 0 0 NA NA NA
"340" 0 0 0 0 0 0 NA NA NA
"341" 0 0 0 0 0 0 NA NA NA
"342" NA NA NA NA NA NA NA NA NA
"343" 0 0 0 0 0 0 NA NA NA
"344" NA NA NA NA NA NA NA NA NA
"345" NA NA NA NA NA NA NA NA NA
"346" 0 0 0 0 0 0 NA NA NA
"347" 0 0 0 0 0 0 NA NA NA
"348" NA NA NA NA NA NA NA NA NA
"349" NA NA NA NA NA NA NA NA NA
"350" NA NA NA NA NA NA NA NA NA
"351" 0 0 0 0 0 0 NA NA NA
"352" 0 0 0 0 0 0 NA NA NA
"353" NA NA NA NA NA NA NA NA NA
"354" NA NA NA NA NA NA NA NA NA
"355" NA NA NA NA NA NA NA NA NA
"356" NA NA NA NA NA NA NA NA NA
"357" NA NA NA NA NA NA NA NA NA
"358" NA NA NA NA NA NA NA NA NA
"359" 0 0 0 0 0 0 NA NA NA
"360" 0 0 0 0 0 0 NA NA NA
"361" 0 0 0 0 0 0 NA NA NA
"362" NA NA NA NA NA NA NA NA NA
"363" NA NA NA NA NA NA NA NA NA
"364" NA NA NA NA NA NA NA NA NA
"365" NA NA NA NA NA NA NA NA NA
"366" 0 0 0 0 0 0 NA NA NA
"367" NA NA NA NA NA NA NA NA NA
"368" NA NA NA NA NA NA NA NA NA
"369" 0 0 0 0 0 0 NA NA NA
"370" 0 0 0 0 0 0 NA NA NA
"371" NA NA NA NA NA NA NA NA NA
"372" NA NA NA NA NA NA NA NA NA
"373" NA NA NA NA NA NA NA NA NA
"374" NA NA NA NA NA NA NA NA NA
"375" NA NA NA NA NA NA NA NA NA
